publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
International Journal of Mathematics and Mathematical Sciences	0161-1712	1687-0425	1978						http://www.doaj.org/doaj?func=openurl&issn=01611712&genre=journal&uiLanguage=en		ijmms		fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1668272	hindawi	48653835	raw
Oman Medical Journal	1999-768X	2070-5204	2007						http://www.doaj.org/doaj?func=openurl&issn=1999768X&genre=journal&uiLanguage=en				fulltext		Oman Medical Specialty Board					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3408726		680670493	raw
Retrovirology	1742-4690		2004						http://www.doaj.org/doaj?func=openurl&issn=17424690&genre=journal&uiLanguage=en				fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28080		54798617	raw
REDVET	1695-7504		2003						http://www.doaj.org/doaj?func=openurl&issn=16957504&genre=journal&uiLanguage=en				fulltext		Veterinaria Organización					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28074		228111648	raw
DOCT-US	2065-3247		2009						http://www.doaj.org/doaj?func=openurl&issn=20653247&genre=journal&uiLanguage=en				fulltext		Stefan cel Mare University of Suceava					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6734547		786451673	raw
Journal of Metallurgy	1687-9465	1687-9473	2009						http://www.doaj.org/doaj?func=openurl&issn=16879465&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035846		321497576	raw
Journal für Reproduktionsmedizin und Endokrinologie	1810-2107	1810-9292	2004						http://www.doaj.org/doaj?func=openurl&issn=18102107&genre=journal&uiLanguage=en		reproduktionsmedizin		fulltext		Krause & Pachernegg GmbH					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	7067584	kup	61283837	raw
Teocomunicação	0103-314X	1980-6736	2005						http://www.doaj.org/doaj?func=openurl&issn=0103314X&genre=journal&uiLanguage=en		teo[1:http://revistaseletronicas.pucrs.br/ojs/index.php/teo		fulltext		Pontifícia Universidade Católica do Rio Grande do Sul					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773189	ojs1	190812787	raw
Ceramics-Silikáty	0862-5468	1804-5847	2000						http://www.doaj.org/doaj?func=openurl&issn=08625468&genre=journal&uiLanguage=en				fulltext		Academy of Sciences of the Czech Republic					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27661		62577826	raw
Trends in Agricultural Economics	1994-7933		2008						http://www.doaj.org/doaj?func=openurl&issn=19947933&genre=journal&uiLanguage=en				fulltext		Asian Network for Scientific Information					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2707808			raw
Arquivos Internacionais de Otorrinolaringologia	1809-4872	1809-4856	1997						http://www.doaj.org/doaj?func=openurl&issn=18094872&genre=journal&uiLanguage=en				fulltext		Fundação Otorrinolaringologia					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3104858		782077813	raw
ISRN Oncology	2090-5661	2090-567X	2011						http://www.doaj.org/doaj?func=openurl&issn=20905661&genre=journal&uiLanguage=en				fulltext		International Scholarly Research Network					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035817		757925101	raw
Radovi Zavoda za Znanstveni Rad Varaždin	0352-9509		2006						http://www.doaj.org/doaj?func=openurl&issn=03529509&genre=journal&uiLanguage=en		radovi-zavoda-za-znanstveni-rad-varazdin		fulltext		Croatian Academy of Sciences and Arts					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035888	hrcak	610106029	raw
Pediatric Rheumatology	1546-0096		2007						http://www.doaj.org/doaj?func=openurl&issn=15460096&genre=journal&uiLanguage=en				fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	754486		782077987	raw
Anuario Americanista Europeo	2221-3872		2003						http://www.doaj.org/doaj?func=openurl&issn=22213872&genre=journal&uiLanguage=en				fulltext		REDIAL CEISAL					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11308494		692092440	raw
Anuario Jurídico y Económico Escurialense	1133-3677		2009						http://www.doaj.org/doaj?func=openurl&issn=11333677&genre=journal&uiLanguage=en				fulltext		Real Centro Universitario Escorial-María Cristina					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13570837		786289662	raw
Journal of the International Society of Sports Nutrition	1550-2783		2004						http://www.doaj.org/doaj?func=openurl&issn=15502783&genre=journal&uiLanguage=en				fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	923927		55120074	raw
Advanced Pharmaceutical Bulletin	2228-5881	2251-7308	2011						http://www.doaj.org/doaj?func=openurl&issn=22285881&genre=journal&uiLanguage=en				fulltext		Tabriz University of Medical Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8859029		778759774	raw
Chinese Journal of Plant Ecology	1005-264X		1958						http://www.doaj.org/doaj?func=openurl&issn=1005264X&genre=journal&uiLanguage=en				fulltext		Editorial Office of Chinese Journal of Plant Ecology					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5631135		898278255	raw
Synergies Monde	1951-6908		2006						http://www.doaj.org/doaj?func=openurl&issn=19516908&genre=journal&uiLanguage=en				fulltext		GERFLINT					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12827865		786947299	raw
Análise	1516-2680	1980-6302	2005						http://www.doaj.org/doaj?func=openurl&issn=15162680&genre=journal&uiLanguage=en		face[1:http://revistaseletronicas.pucrs.br/ojs/index.php/face		fulltext		Pontifícia Universidade Católica do Rio Grande do Sul					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773131	ojs1	183205588	raw
Conexión Agropecuaria JDC	2248-7735		2011						http://www.doaj.org/doaj?func=openurl&issn=22487735&genre=journal&uiLanguage=en				fulltext		Fundación Universitaria Juan de Castellanos					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11308505		823689204	raw
Indian Journal of Human Genetics	0971-6866	1998-362X	2002						http://www.doaj.org/doaj?func=openurl&issn=09716866&genre=journal&uiLanguage=en		www.ijhg.com		fulltext		Medknow Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27820	medknow	52961585	raw
Web Ecology	2193-3081	1399-1183	2000						http://www.doaj.org/doaj?func=openurl&issn=21933081&genre=journal&uiLanguage=en				fulltext		Copernicus Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12827874		51525878	raw
Annals of the University of Oradea : Economic Science	1222-569X	1582-5450	2005						http://www.doaj.org/doaj?func=openurl&issn=1222569X&genre=journal&uiLanguage=en				fulltext		University of Oradea					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2706724		847360620	raw
Judgment and Decision Making	1930-2975		2006						http://www.doaj.org/doaj?func=openurl&issn=19302975&genre=journal&uiLanguage=en				fulltext		Society for Judgment and Decision Making					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2707791		64385259	raw
Türk Biyokimya Dergisi	0250-4685	1303-829X	1999						http://www.doaj.org/doaj?func=openurl&issn=02504685&genre=journal&uiLanguage=en				fulltext		Turkish Biochemical Society					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28184		191100407	raw
Open Journal of Stomatology	2160-8709	2160-8717	2011						http://www.doaj.org/doaj?func=openurl&issn=21608709&genre=journal&uiLanguage=en				fulltext		Scientific Research Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6672253		716215533	raw
Risk Management and Healthcare Policy	1179-1594		2008						http://www.doaj.org/doaj?func=openurl&issn=11791594&genre=journal&uiLanguage=en				fulltext		Dove Medical Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750284		335320470	raw
BMC Cancer	1471-2407		2001						http://www.doaj.org/doaj?func=openurl&issn=14712407&genre=journal&uiLanguage=en		bmccancer		fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27572	bmc	45893944	raw
Arquivos Brasileiros de Cardiologia	0066-782X	1678-4170	1997						http://www.doaj.org/doaj?func=openurl&issn=0066782X&genre=journal&uiLanguage=en		0066-782X		fulltext		Sociedade Brasileira de Cardiologia - SBC					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27530	scielo	46982403	raw
Política y Cultura	0188-7742		1992						http://www.doaj.org/doaj?func=openurl&issn=01887742&genre=journal&uiLanguage=en		267		fulltext		Universidad Autónoma Metropolitana					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28048	redalyc	62585063	raw
Processing and Application of Ceramics	1820-6131		2007						http://www.doaj.org/doaj?func=openurl&issn=18206131&genre=journal&uiLanguage=en				fulltext		University of Novi Sad					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8710444		769792605	raw
European Respiratory Review	0905-9180	1600-0617	2005						http://www.doaj.org/doaj?func=openurl&issn=09059180&genre=journal&uiLanguage=en		err[1:err.ersjournals.com]		fulltext		European Respiratory Society					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2955377	highwire	60627438	raw
ISRN Thermodynamics	2090-5211		2012						http://www.doaj.org/doaj?func=openurl&issn=20905211&genre=journal&uiLanguage=en				fulltext		International Scholarly Research Network					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11112369		808655521	raw
Indian Journal of Palliative Care	0973-1075	1998-3735	2003						http://www.doaj.org/doaj?func=openurl&issn=09731075&genre=journal&uiLanguage=en		www.jpalliativecare.com		fulltext		Medknow Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27825	medknow	62559200	raw
Em Pauta : Teoria Social e Realidade Contemporânea	1414-8609	2238-3786	2007						http://www.doaj.org/doaj?func=openurl&issn=14148609&genre=journal&uiLanguage=en				fulltext		Universidade do Estado do Rio de Janeiro					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13570847		830993365	raw
Brazilian Journal of Aquatic Science and Technology	1808-7035	1983-9057	1998						http://www.doaj.org/doaj?func=openurl&issn=18087035&genre=journal&uiLanguage=en				fulltext		Universidade do Vale do Itajaí					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5820759		450111711	raw
Extreme Life, Biospeology and Astrobiology	2066-7671	2067-6360	2009						http://www.doaj.org/doaj?func=openurl&issn=20667671&genre=journal&uiLanguage=en				fulltext		Bioflux Society					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	4868380			raw
Advances in Acoustics and Vibration	1687-6261	1687-627X	2008						http://www.doaj.org/doaj?func=openurl&issn=16876261&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1853123		746945915	raw
Sri Lanka Journal of Psychiatry	2012-6883		2010						http://www.doaj.org/doaj?func=openurl&issn=20126883&genre=journal&uiLanguage=en				fulltext		Sri Lanka College of Psychiatrists					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773187		792932712	raw
BMC Medical Research Methodology	1471-2288		2001						http://www.doaj.org/doaj?func=openurl&issn=14712288&genre=journal&uiLanguage=en		bmcmedresmethodol		fulltext		BioMed Central					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27600	bmc	46614457	raw
Avances en Ciencias e Ingeniería	0718-8706		2010						http://www.doaj.org/doaj?func=openurl&issn=07188706&genre=journal&uiLanguage=en				fulltext		Executive Business School					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5380576		701805617	raw
Jurnalul Pediatrului	2065-4855		2004						http://www.doaj.org/doaj?func=openurl&issn=20654855&genre=journal&uiLanguage=en				fulltext		Fundatiei  Profilaxis					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2707792		456201427	raw
Climate of the Past Discussions	1814-9340	1814-9359	2005						http://www.doaj.org/doaj?func=openurl&issn=18149340&genre=journal&uiLanguage=en		www.clim-past-discuss.net		fulltext		Copernicus Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2754035	egu	64688481	raw
KEMANUSIAAN :  The Asian Journal of Humanities	1394-9330	1985-8353	2008						http://www.doaj.org/doaj?func=openurl&issn=13949330&genre=journal&uiLanguage=en				fulltext		Universiti Sains Malaysia Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3369996		34708434	raw
GERF Bulletin of Biosciences	2229-6433		2010						http://www.doaj.org/doaj?func=openurl&issn=22296433&genre=journal&uiLanguage=en				fulltext		Green Earth Research Foundation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035775		839996492	raw
Dermatology Reports	2036-7392	2036-7406	2009						http://www.doaj.org/doaj?func=openurl&issn=20367392&genre=journal&uiLanguage=en		pagepress.org/journals/index.php/dr		fulltext		PAGEPress Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246673	ojs	610965717	raw
ThéoRèmes : Enjeux des Approches Empiriques des Religions	1664-0136		2010						http://www.doaj.org/doaj?func=openurl&issn=16640136&genre=journal&uiLanguage=en				fulltext		Université de Genève					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10843226		905947162	raw
Genetics and Epigenetics	1179-237X		2010						http://www.doaj.org/doaj?func=openurl&issn=1179237X&genre=journal&uiLanguage=en		127		fulltext		Libertas Academica					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035772	libertas	756441631	raw
Articulo : Journal of Urban Research	1661-4941		2005						http://www.doaj.org/doaj?func=openurl&issn=16614941&genre=journal&uiLanguage=en		articulo		fulltext		Dr. Laurent Matthey and Dr. Olivier Walther					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1626355	revues	464691469	raw
Revista SudHistoria	0718-9427		2010						http://www.doaj.org/doaj?func=openurl&issn=07189427&genre=journal&uiLanguage=en				fulltext		Revista SudHistoria					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	4868418		762004759	raw
S : Journal of the Jan van Eyck Circle for Lacanian Ideology Critique	1874-9062		2008						http://www.doaj.org/doaj?func=openurl&issn=18749062&genre=journal&uiLanguage=en				fulltext		Jan van Eyck Academie					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2754066		263869327	raw
Neuroanatomy	1303-1783	1303-1775	2002						http://www.doaj.org/doaj?func=openurl&issn=13031783&genre=journal&uiLanguage=en				fulltext		M. Mustafa Aldur					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28001		54093480	raw
Praxis Educativa	0328-9702		2006						http://www.doaj.org/doaj?func=openurl&issn=03289702&genre=journal&uiLanguage=en				fulltext		Universidad Nacional de La Pampa					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8773169		786283517	raw
International Dental and Medical Disorder	1308-1322		2008			2009			http://www.doaj.org/doaj?func=openurl&issn=13081322&genre=journal&uiLanguage=en				fulltext		Ektodermal Displazi Grubu					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035783		761970954	raw
Studies in Mathematical Sciences	1923-8444	1923-8452	2010						http://www.doaj.org/doaj?func=openurl&issn=19238444&genre=journal&uiLanguage=en		sms		fulltext		Canadian Research & Development Center of Sciences and Cultures					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035916	ojs	741251910	raw
International Journal of Systems Biology	0975-2900	0975-9204	2009						http://www.doaj.org/doaj?func=openurl&issn=09752900&genre=journal&uiLanguage=en				fulltext		Bioinfo Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094892		701805672	raw
Diabetic Foot and Ankle	2000-625X		2010						http://www.doaj.org/doaj?func=openurl&issn=2000625X&genre=journal&uiLanguage=en		diabeticfootandankle.net/		fulltext		Co-Action Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094864	ojs	688501072	raw
Pixel-Bit	1133-8482		2003						http://www.doaj.org/doaj?func=openurl&issn=11338482&genre=journal&uiLanguage=en		368		fulltext		Universidad de Sevilla					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	28038	redalyc	243566190	raw
Research in Plant Disease	1598-2262	2233-9191	1995						http://www.doaj.org/doaj?func=openurl&issn=15982262&genre=journal&uiLanguage=en				fulltext		Korean Society of Plant Pathology					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11112385		806271144	raw
European Journal of Comparative Economics, The	1824-2979		2004						http://www.doaj.org/doaj?func=openurl&issn=18242979&genre=journal&uiLanguage=en				fulltext		European Association for Comparative Economic Studies and Universita Carlo Cattaneo					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27765		56968726	raw
Electronic Physician	2008-5842		2009						http://www.doaj.org/doaj?func=openurl&issn=20085842&genre=journal&uiLanguage=en				fulltext		Electronic Physician					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266294		669166414	raw
Qom University of Medical Sciences Journal	1735-7799	2008-1375	2007						http://www.doaj.org/doaj?func=openurl&issn=17357799&genre=journal&uiLanguage=en				fulltext		Qom University of Medical Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3231381		664596090	raw
Revista Fiabilitate si Durabilitate	1844-640X		2008						http://www.doaj.org/doaj?func=openurl&issn=1844640X&genre=journal&uiLanguage=en				fulltext		Academica Brancusi					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3408730		661095879	raw
International Journal of Engineering Science and Technology	0975-5462		2009						http://www.doaj.org/doaj?func=openurl&issn=09755462&genre=journal&uiLanguage=en				fulltext		Engg Journals Publication					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246683		613094199	raw
Chronicles of Young Scientists	0975-9212		2010						http://www.doaj.org/doaj?func=openurl&issn=09759212&genre=journal&uiLanguage=en		http://www.opubs.com/cys/index.php/cys		fulltext		Medknow Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266288	ojs	610965723	raw
Far East Journal of Psychology and Business	2219-5440	2221-8017	2010						http://www.doaj.org/doaj?func=openurl&issn=22195440&genre=journal&uiLanguage=en				fulltext		Far East Research Centre					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035768		760053442	raw
Journal of Agribusiness and Rural Development	1899-5241	1899-5772	2008						http://www.doaj.org/doaj?func=openurl&issn=18995241&genre=journal&uiLanguage=en				fulltext		Uniwersytet Przyrodniczy w Poznaniu					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	11891809		823689216	raw
J3eA : Journal sur l'Enseignement des Sciences et Technologies de l'Information et des Systèmes	1638-5705		2002						http://www.doaj.org/doaj?func=openurl&issn=16385705&genre=journal&uiLanguage=en		www.j3ea.org/		fulltext		EDP Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035829	edpsci	271819046	raw
Advances in Decision Sciences	2090-3359	2090-3367	1997						http://www.doaj.org/doaj?func=openurl&issn=20903359&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266276		609962554	raw
Journal of Chemistry	2090-9063	2090-9071	2012						http://www.doaj.org/doaj?func=openurl&issn=20909063&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10843185		795699195	raw
Database Systems Journal	2069-3230		2010						http://www.doaj.org/doaj?func=openurl&issn=20693230&genre=journal&uiLanguage=en				fulltext		Bucharest Academy of Economic Studies Publishing House					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	7067539		763866598	raw
Annales de Toxicologie Analytique	0768-598X	1961-9480	2000						http://www.doaj.org/doaj?func=openurl&issn=0768598X&genre=journal&uiLanguage=en		www.ata-journal.org/		fulltext		EDP Sciences					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246660	edpsci	271030454	raw
Journal of Knowledge Management, Economics and Information Technology	2069-5934		2010						http://www.doaj.org/doaj?func=openurl&issn=20695934&genre=journal&uiLanguage=en				fulltext		Scientific Papers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5845318		822231342	raw
Scripta Geologica	0375-7587	1876-2077	2007						http://www.doaj.org/doaj?func=openurl&issn=03757587&genre=journal&uiLanguage=en				fulltext		Naturalis					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1977528		782070347	raw
Región y Sociedad	1870-3925		1996						http://www.doaj.org/doaj?func=openurl&issn=18703925&genre=journal&uiLanguage=en		102		fulltext		El Colegio de Sonora					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	8859088	redalyc	57139660	raw
International Poster Journal of Science and Technology	2224-5618		2011						http://www.doaj.org/doaj?func=openurl&issn=22245618&genre=journal&uiLanguage=en				fulltext		Biomass Conversion Research Center					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9230585		823697065	raw
Marketing ì Menedžment Innovacìj	2218-4511		2010						http://www.doaj.org/doaj?func=openurl&issn=22184511&genre=journal&uiLanguage=en				fulltext		Sumy State University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	9026004		786953500	raw
Review of Science, Mathematics and ICT Education	1791-261X	1792-3999	2007						http://www.doaj.org/doaj?func=openurl&issn=1791261X&genre=journal&uiLanguage=en				fulltext		Metaichmio Publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3427812		664628750	raw
Teknokultura : Revista de Cultura Digital y Movimientos Sociales	1549-2230		2011						http://www.doaj.org/doaj?func=openurl&issn=15492230&genre=journal&uiLanguage=en				fulltext		Cultura Digital y Movimientos Sociales and Cibersomosaguas					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13152955		54684333	raw
Joannea Geologie und Paläontologie	1562-9449		1999						http://www.doaj.org/doaj?func=openurl&issn=15629449&genre=journal&uiLanguage=en				fulltext		Steiermärkisches Landesmuseum Joanneum					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27872		61367726	raw
J@rgonia	1459-305X		2003						http://www.doaj.org/doaj?func=openurl&issn=1459305X&genre=journal&uiLanguage=en				fulltext		Registered Association of Hela Researchers					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3246689		610474764	raw
Inonu University Journal of the Faculty of Education	1300-2899		2008						http://www.doaj.org/doaj?func=openurl&issn=13002899&genre=journal&uiLanguage=en				fulltext		Inonu University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	2661081		321528648	raw
Applied Computational Intelligence and Soft Computing	1687-9724	1687-9732	2009						http://www.doaj.org/doaj?func=openurl&issn=16879724&genre=journal&uiLanguage=en				fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266278		770966403	raw
American Journal of Agricultural and Biological Science	1557-4989	1557-4997	2006						http://www.doaj.org/doaj?func=openurl&issn=15574989&genre=journal&uiLanguage=en		ajabs		fulltext		Science publications					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1627288	scipub	243599728	raw
Evolução e Conservação da Biodiversidade	2236-3866		2010						http://www.doaj.org/doaj?func=openurl&issn=22363866&genre=journal&uiLanguage=en				fulltext		Universidade Federal de Viçosa, Campus de Rio Paranaíba					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	13152919		853472834	raw
Boletín de la Sociedad Botánica de México	0366-2128		2000						http://www.doaj.org/doaj?func=openurl&issn=03662128&genre=journal&uiLanguage=en		577		fulltext		Sociedad Botánica de México, A.C					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	886813	redalyc	560445794	raw
ISRN Pharmaceutics	2090-6145	2090-6153	2011						http://www.doaj.org/doaj?func=openurl&issn=20906145&genre=journal&uiLanguage=en				fulltext		International Scholarly Research Network					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6948157		780375940	raw
Stockholm Review of Latin American Studies	1654-0204		2006						http://www.doaj.org/doaj?func=openurl&issn=16540204&genre=journal&uiLanguage=en				fulltext		Stockholm University					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5750287		722474633	raw
Avances en Psicología Latinoamericana	1794-4724	2145-4515	2004						http://www.doaj.org/doaj?func=openurl&issn=17944724&genre=journal&uiLanguage=en		799		fulltext		Universidad del Rosario					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1651405	redalyc	231767116	raw
HPB Surgery	0894-8569	1607-8462	2007						http://www.doaj.org/doaj?func=openurl&issn=08948569&genre=journal&uiLanguage=en		hpb		fulltext		Hindawi Publishing Corporation					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	1645185	hindawi	233145660	raw
Australasian Medical Journal	1836-1935		2008						http://www.doaj.org/doaj?func=openurl&issn=18361935&genre=journal&uiLanguage=en		www.amj.net.au/		fulltext		The Australasian Medical Journal pty ltd.					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3197474	ojs	271666482	raw
International Journal of Psychology and Psychological Therapy	1577-7057		2001						http://www.doaj.org/doaj?func=openurl&issn=15777057&genre=journal&uiLanguage=en		560		fulltext		Asociación de Análisis del Comportamiento					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	754483	redalyc	61852429	raw
Global Health Action	1654-9880		2008						http://www.doaj.org/doaj?func=openurl&issn=16549880&genre=journal&uiLanguage=en		www.ethicsandglobalpolitics.net/index.php/gha		fulltext		Co-Action Publishing					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	3266297	ojs	405712231	raw
Champ Pénal	1777-5272		2004						http://www.doaj.org/doaj?func=openurl&issn=17775272&genre=journal&uiLanguage=en		champpenal		fulltext		Champ pénal					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	10871719	revues	62409822	raw
URBS : Revista de Estudios Urbanos y Ciencias Sociales	2014-2714		2011						http://www.doaj.org/doaj?func=openurl&issn=20142714&genre=journal&uiLanguage=en				fulltext		Universidad de Almería					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	12827871		827174773	raw
Anais da Academia Brasileira de Ciencias	0001-3765	1678-2690	2000						http://www.doaj.org/doaj?func=openurl&issn=00013765&genre=journal&uiLanguage=en		0001-3765		fulltext		Academia Brasileira de Ciências					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	27508	scielo	53907017	raw
Gastrointestinal Cancer : Targets and Therapy	1179-9919		2011						http://www.doaj.org/doaj?func=openurl&issn=11799919&genre=journal&uiLanguage=en				fulltext		Dove Medical Press					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	6035771		727660039	raw
International Journal of Computer Networks	1985-4129		2009						http://www.doaj.org/doaj?func=openurl&issn=19854129&genre=journal&uiLanguage=en				fulltext		Computer Science Journals					Directory of Open Access Journals (Titles with searchable fulltext)	DOAJ.joartX	5094884		741222775	raw
